Wilayah;Tahun;Perkotaan_Perdesaan;Sumber_Air;Total_WERT
Ciamis;2019;Perkotaan;Sumur terlindung;45462,16021
Ciamis;2020;Perdesaan;Air isi ulang;35615,19555
Ciamis;2020;Perkotaan;Air isi ulang;37155,7479
Ciamis;2020;Perdesaan;Air kemasan bermerk;4434,143097
Ciamis;2020;Perkotaan;Air kemasan bermerk;6986,549118
Ciamis;2020;Perdesaan;Leding;7011,888138
Ciamis;2020;Perkotaan;Leding;15190,18507
Ciamis;2020;Perdesaan;Mata air tak terlindung;12648,16182
Ciamis;2020;Perkotaan;Mata air tak terlindung;5798,231934
Ciamis;2020;Perdesaan;Mata air terlindung;19210,04134
Ciamis;2020;Perkotaan;Mata air terlindung;9843,407173
Ciamis;2020;Perdesaan;Sumur bor/pompa;84937,21775
Ciamis;2020;Perkotaan;Sumur bor/pompa;44887,17641
Ciamis;2020;Perdesaan;Sumur tak terlindung;6156,866013
Ciamis;2020;Perkotaan;Sumur tak terlindung;7988,652542
Ciamis;2020;Perdesaan;Sumur terlindung;61204,73244
Ciamis;2020;Perkotaan;Sumur terlindung;24904,06169
Ciamis;2021;Perdesaan;Air isi ulang;44192,90947
Ciamis;2021;Perkotaan;Air isi ulang;35956,13355
Ciamis;2021;Perdesaan;Air kemasan bermerk;2527,765808
Ciamis;2021;Perkotaan;Air kemasan bermerk;6174,310074
Ciamis;2021;Perdesaan;Leding;8915,807266
Ciamis;2021;Perkotaan;Leding;10443,75052
Ciamis;2021;Perdesaan;Mata air tak terlindung;13337,13174
Ciamis;2021;Perkotaan;Mata air tak terlindung;1405,800446
Ciamis;2021;Perdesaan;Mata air terlindung;33451,95901
Ciamis;2021;Perkotaan;Mata air terlindung;18458,54734
Ciamis;2021;Perdesaan;Sumur bor/pompa;36680,00987
Ciamis;2021;Perkotaan;Sumur bor/pompa;39365,59846
Ciamis;2021;Perdesaan;Sumur tak terlindung;11990,14427
Ciamis;2021;Perkotaan;Sumur tak terlindung;4296,922384
Ciamis;2021;Perdesaan;Sumur terlindung;78401,79271
Ciamis;2021;Perkotaan;Sumur terlindung;50101,35595
Ciamis;2022;Perdesaan;Air isi ulang;46157,92761
Ciamis;2022;Perkotaan;Air isi ulang;35388,64979
Ciamis;2022;Perdesaan;Air kemasan bermerk;1157,481511
Ciamis;2022;Perkotaan;Air kemasan bermerk;5469,302954
Ciamis;2022;Perdesaan;Lainnya;697,9759531
Ciamis;2022;Perdesaan;Leding;3339,517339
Ciamis;2022;Perkotaan;Leding;17097,87532
Ciamis;2022;Perdesaan;Mata air tak terlindung;6491,906749
Ciamis;2022;Perkotaan;Mata air tak terlindung;1078,293155
Ciamis;2022;Perdesaan;Mata air terlindung;38331,09296
