Wilayah;Tahun;Perkotaan_Perdesaan;Kondisi;Status;total_WERT
Bekasi;2021;Perkotaan;Berbau;Ya;16613,5379
Bekasi;2022;Perkotaan;Berbau;Ya;11351,53648
Bekasi;2023;Perkotaan;Berbau;Ya;14910,79768
Bekasi;2019;Perdesaan;Berbau;Tidak;80443,66909
Bekasi;2020;Perdesaan;Berbau;Tidak;83321,18695
Bekasi;2021;Perdesaan;Berbau;Tidak;56574,90467
Bekasi;2022;Perdesaan;Berbau;Tidak;59158,43439
Bekasi;2023;Perdesaan;Berbau;Tidak;40882,42825
Bekasi;2019;Perkotaan;Berbau;Tidak;919821,8018
Bekasi;2020;Perkotaan;Berbau;Tidak;984213,7323
Bekasi;2021;Perkotaan;Berbau;Tidak;1035385,898
Bekasi;2022;Perkotaan;Berbau;Tidak;1060495,85
Bekasi;2023;Perkotaan;Berbau;Tidak;1041643,984
Bekasi;2019;Perdesaan;Berbusa;Ya;446,8642883
Bekasi;2019;Perkotaan;Berbusa;Ya;1562,194336
Bekasi;2020;Perkotaan;Berbusa;Ya;3843,689026
Bekasi;2021;Perkotaan;Berbusa;Ya;2961,330017
Bekasi;2022;Perkotaan;Berbusa;Ya;5672,780998
Bekasi;2023;Perkotaan;Berbusa;Ya;5432,630646
Bekasi;2019;Perdesaan;Berbusa;Tidak;81772,86122
Bekasi;2020;Perdesaan;Berbusa;Tidak;83321,18695
Bekasi;2021;Perdesaan;Berbusa;Tidak;56574,90467
Bekasi;2022;Perdesaan;Berbusa;Tidak;59158,43439
Bekasi;2023;Perdesaan;Berbusa;Tidak;40882,42825
Bekasi;2019;Perkotaan;Berbusa;Tidak;939164,7378
Bekasi;2020;Perkotaan;Berbusa;Tidak;999262,1311
Bekasi;2021;Perkotaan;Berbusa;Tidak;1049038,106
Bekasi;2022;Perkotaan;Berbusa;Tidak;1066174,606
Bekasi;2023;Perkotaan;Berbusa;Tidak;1051122,151
Bekasi;2019;Perdesaan;Berwarna;Ya;2254,450836
Bekasi;2022;Perdesaan;Berwarna;Ya;1082,779703
Bekasi;2023;Perdesaan;Berwarna;Ya;8881,666856
Bekasi;2019;Perkotaan;Berwarna;Ya;11514,82776
